typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20240101","2024","52","2024","96","BRN","Brunei Darussalam","M","Import","0","W00","World","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","31285681","false","8","kg","31285681","false","31285681","false","0","false","33866348.129",,"33866348.129","0","false","true",
"C","A","20240101","2024","52","2024","96","BRN","Brunei Darussalam","M","Import","36","AUS","Australia","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","119120","false","8","kg","119120","false","119120","false","0","false","171562.923",,"171562.923","0","false","true",
"C","A","20240101","2024","52","2024","96","BRN","Brunei Darussalam","M","Import","50","BGD","Bangladesh","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3000","false","8","kg","3000","false","3000","false","0","false","4764.389",,"4764.389","0","false","true",
"C","A","20240101","2024","52","2024","96","BRN","Brunei Darussalam","M","Import","116","KHM","Cambodia","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9009000","false","8","kg","9009000","false","9009000","false","0","false","8785176.649",,"8785176.649","0","false","true",
"C","A","20240101","2024","52","2024","96","BRN","Brunei Darussalam","M","Import","156","CHN","China","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13400","false","8","kg","13400","false","13400","false","0","false","98001.203",,"98001.203","0","false","true",
"C","A","20240101","2024","52","2024","96","BRN","Brunei Darussalam","M","Import","360","IDN","Indonesia","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","46000","false","8","kg","46000","false","46000","false","0","false","496021.945",,"496021.945","0","false","true",
"C","A","20240101","2024","52","2024","96","BRN","Brunei Darussalam","M","Import","392","JPN","Japan","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","41230","false","8","kg","41230","false","41230","false","0","false","139551.318",,"139551.318","0","false","true",
"C","A","20240101","2024","52","2024","96","BRN","Brunei Darussalam","M","Import","490","S19","Other Asia, nes","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","64470","false","8","kg","64470","false","64470","false","0","false","101177.961",,"101177.961","0","false","true",
"C","A","20240101","2024","52","2024","96","BRN","Brunei Darussalam","M","Import","586","PAK","Pakistan","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4900","false","8","kg","4900","false","4900","false","0","false","7428.405",,"7428.405","0","false","true",
"C","A","20240101","2024","52","2024","96","BRN","Brunei Darussalam","M","Import","699","IND","India","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2337221","false","8","kg","2337221","false","2337221","false","0","false","2476428.458",,"2476428.458","0","false","true",
"C","A","20240101","2024","52","2024","96","BRN","Brunei Darussalam","M","Import","702","SGP","Singapore","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1440","false","8","kg","1440","false","1440","false","0","false","4853.464",,"4853.464","0","false","true",
"C","A","20240101","2024","52","2024","96","BRN","Brunei Darussalam","M","Import","704","VNM","Viet Nam","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","149130","false","8","kg","149130","false","149130","false","0","false","194676.012",,"194676.012","0","false","true",
"C","A","20240101","2024","52","2024","96","BRN","Brunei Darussalam","M","Import","764","THA","Thailand","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19496770","false","8","kg","19496770","false","19496770","false","0","false","21386705.402",,"21386705.402","0","false","true",
"C","A","20240101","2024","52","2024","458","MYS","Malaysia","M","Import","0","W00","World","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1695309682.86","false","8","kg","1695309682.86","false","1695309682.86","false","0","false","1097628462.616",,"1097628462.616","0","false","true",
"C","A","20240101","2024","52","2024","458","MYS","Malaysia","M","Import","104","MMR","Myanmar","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14337520","false","8","kg","14337520","false","14337520","false","0","false","7966177.083",,"7966177.083","0","false","true",
"C","A","20240101","2024","52","2024","458","MYS","Malaysia","M","Import","116","KHM","Cambodia","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","66952370","false","8","kg","66952370","false","66952370","false","0","false","53904931.535",,"53904931.535","0","false","true",
"C","A","20240101","2024","52","2024","458","MYS","Malaysia","M","Import","156","CHN","China","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7000","false","8","kg","7000","false","7000","false","0","false","23372.158",,"23372.158","0","false","true",
"C","A","20240101","2024","52","2024","458","MYS","Malaysia","M","Import","276","DEU","Germany","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","40","false","8","kg","40","false","40","false","0","false","54.846",,"54.846","0","false","true",
"C","A","20240101","2024","52","2024","458","MYS","Malaysia","M","Import","360","IDN","Indonesia","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","31868","false","8","kg","31868","false","31868","false","0","false","56707.108",,"56707.108","0","false","true",
"C","A","20240101","2024","52","2024","458","MYS","Malaysia","M","Import","392","JPN","Japan","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","281576.86","false","8","kg","281576.86","false","281576.86","false","0","false","536520.183",,"536520.183","0","false","true",
"C","A","20240101","2024","52","2024","458","MYS","Malaysia","M","Import","410","KOR","Rep. of Korea","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","249600","false","8","kg","249600","false","249600","false","0","false","133220.275",,"133220.275","0","false","true",
"C","A","20240101","2024","52","2024","458","MYS","Malaysia","M","Import","490","S19","Other Asia, nes","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","169800","false","8","kg","169800","false","169800","false","0","false","140582.349",,"140582.349","0","false","true",
"C","A","20240101","2024","52","2024","458","MYS","Malaysia","M","Import","586","PAK","Pakistan","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","382051200","false","8","kg","382051200","false","382051200","false","0","false","235414963.087",,"235414963.087","0","false","true",
"C","A","20240101","2024","52","2024","458","MYS","Malaysia","M","Import","699","IND","India","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","325761990","false","8","kg","325761990","false","325761990","false","0","false","227558138.538",,"227558138.538","0","false","true",
"C","A","20240101","2024","52","2024","458","MYS","Malaysia","M","Import","704","VNM","Viet Nam","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","687637318","false","8","kg","687637318","false","687637318","false","0","false","429865605.912",,"429865605.912","0","false","true",
"C","A","20240101","2024","52","2024","458","MYS","Malaysia","M","Import","724","ESP","Spain","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7920","false","8","kg","7920","false","7920","false","0","false","15352.803",,"15352.803","0","false","true",
"C","A","20240101","2024","52","2024","458","MYS","Malaysia","M","Import","764","THA","Thailand","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","217821480","false","8","kg","217821480","false","217821480","false","0","false","142012836.737",,"142012836.737","0","false","true",
"C","A","20240101","2024","52","2024","608","PHL","Philippines","M","Import","0","W00","World","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4770088650.6","false","8","kg","4770088650.6","false","4770088650.6","false","4770088650.6","false","2518914638","2449342868","2518914638","0","false","true",
"C","A","20240101","2024","52","2024","608","PHL","Philippines","M","Import","36","AUS","Australia","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","836.49","false","8","kg","836.49","false","836.49","false","836.49","false","1285","1200","1285","0","false","true",
"C","A","20240101","2024","52","2024","608","PHL","Philippines","M","Import","50","BGD","Bangladesh","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","513537.5","false","8","kg","513537.5","false","513537.5","false","513537.5","false","1093228","995400","1093228","0","false","true",
"C","A","20240101","2024","52","2024","608","PHL","Philippines","M","Import","104","MMR","Myanmar","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","208675887.68","false","8","kg","208675887.68","false","208675887.68","false","208675887.68","false","103216722","100279333","103216722","0","false","true",
"C","A","20240101","2024","52","2024","608","PHL","Philippines","M","Import","116","KHM","Cambodia","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3469060","false","8","kg","3469060","false","3469060","false","3469060","false","1801400","1730000","1801400","0","false","true",
"C","A","20240101","2024","52","2024","608","PHL","Philippines","M","Import","156","CHN","China","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20906416.2","false","8","kg","20906416.2","false","20906416.2","false","20906416.2","false","64545419","62753913","64545419","0","false","true",
"C","A","20240101","2024","52","2024","608","PHL","Philippines","M","Import","360","IDN","Indonesia","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6","false","8","kg","6","false","6","false","6","false","88","53","88","0","false","true",
"C","A","20240101","2024","52","2024","608","PHL","Philippines","M","Import","380","ITA","Italy","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","16245.61","false","8","kg","16245.61","false","16245.61","false","16245.61","false","27769","24558","27769","0","false","true",
"C","A","20240101","2024","52","2024","608","PHL","Philippines","M","Import","392","JPN","Japan","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","515492","false","8","kg","515492","false","515492","false","515492","false","317979","298095","317979","0","false","true",
"C","A","20240101","2024","52","2024","608","PHL","Philippines","M","Import","410","KOR","Rep. of Korea","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2022400","false","8","kg","2022400","false","2022400","false","2022400","false","3648524","3457715","3648524","0","false","true",
"C","A","20240101","2024","52","2024","608","PHL","Philippines","M","Import","586","PAK","Pakistan","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","309406026.2","false","8","kg","309406026.2","false","309406026.2","false","309406026.2","false","155443926","151069022","155443926","0","false","true",
