Entity,Code,Year,Rice - Yield (tonnes per hectare)
Brunei,BRN,1961,1.7306
Brunei,BRN,1962,1.8527
Brunei,BRN,1963,1.3711001
Brunei,BRN,1964,1.3235
Brunei,BRN,1965,1.1737
Brunei,BRN,1966,1.3922
Brunei,BRN,1967,1.5871
Brunei,BRN,1968,1.5868001
Brunei,BRN,1969,1.8581
Brunei,BRN,1970,1.9621
Brunei,BRN,1971,1.6024001
Brunei,BRN,1972,1.6175001
Brunei,BRN,1973,2.4251003
Brunei,BRN,1974,2.904
Brunei,BRN,1975,2.7178001
Brunei,BRN,1976,1.9647001
Brunei,BRN,1977,1.5034001
Brunei,BRN,1978,1.5917001
Brunei,BRN,1979,2.1759
Brunei,BRN,1980,1.3797001
Brunei,BRN,1981,1.3643001
Brunei,BRN,1982,1.4825001
Brunei,BRN,1983,1.5797
Brunei,BRN,1984,1.5571
Brunei,BRN,1985,1.2394
Brunei,BRN,1986,2.1359
Brunei,BRN,1987,1.0630001
Brunei,BRN,1988,2.1685002
Brunei,BRN,1989,2.2286003
Brunei,BRN,1990,1.5500001
Brunei,BRN,1991,0.81250006
Brunei,BRN,1992,0.7857
Brunei,BRN,1993,0.8
Brunei,BRN,1994,0.8
Brunei,BRN,1995,0.8
Brunei,BRN,1996,0.7778
Brunei,BRN,1997,0.7778
Brunei,BRN,1998,0.7778
Brunei,BRN,1999,0.78950006
Brunei,BRN,2000,1.0065
Brunei,BRN,2001,0.8924001
Brunei,BRN,2002,0.8881
Brunei,BRN,2003,0.81930006
Brunei,BRN,2004,0.79350007
Brunei,BRN,2005,0.7443
Brunei,BRN,2006,0.79520005
Brunei,BRN,2007,0.90070003
Brunei,BRN,2008,0.82140005
Brunei,BRN,2009,0.77370006
Brunei,BRN,2010,1
Brunei,BRN,2011,1.4667001
Brunei,BRN,2012,1.3750001
Brunei,BRN,2013,1.4615
Brunei,BRN,2014,1.6154001
Brunei,BRN,2015,2.3846002
Brunei,BRN,2016,1.7143002
Brunei,BRN,2017,1.7692001
Brunei,BRN,2018,2
Brunei,BRN,2019,2.0909
Brunei,BRN,2020,3.0000002
Brunei,BRN,2021,2.7333002
Brunei,BRN,2022,2.3992
Brunei,BRN,2023,2.5647001
Brunei,BRN,2024,2.4175
Cambodia,KHM,1961,1.0921
Cambodia,KHM,1962,0.892
Cambodia,KHM,1963,1.1742
Cambodia,KHM,1964,1.1611
Cambodia,KHM,1965,1.0666001
Cambodia,KHM,1966,1.0889001
Cambodia,KHM,1967,1.2163001
Cambodia,KHM,1968,1.3989
Cambodia,KHM,1969,1.2876
Cambodia,KHM,1970,1.5898001
Cambodia,KHM,1971,1.4532
Cambodia,KHM,1972,1.3774
Cambodia,KHM,1973,1.2947
Cambodia,KHM,1974,1.1441001
Cambodia,KHM,1975,1.2
Cambodia,KHM,1976,1.1
Cambodia,KHM,1977,1
Cambodia,KHM,1978,1
Cambodia,KHM,1979,0.6951
Cambodia,KHM,1980,1.1924001
Cambodia,KHM,1981,1.1314001
Cambodia,KHM,1982,1.2068001
Cambodia,KHM,1983,1.2649001
Cambodia,KHM,1984,1.2883002
Cambodia,KHM,1985,1.2497001
Cambodia,KHM,1986,1.3770001
Cambodia,KHM,1987,1.3248001
Cambodia,KHM,1988,1.3699001
Cambodia,KHM,1989,1.4358001
Cambodia,KHM,1990,1.3477
Cambodia,KHM,1991,1.3962001
Cambodia,KHM,1992,1.3178002
Cambodia,KHM,1993,1.3069001
Cambodia,KHM,1994,1.4877
Cambodia,KHM,1995,1.792
Cambodia,KHM,1996,1.8116001
Cambodia,KHM,1997,1.7706001
Cambodia,KHM,1998,1.7884
Cambodia,KHM,1999,1.9433001
Cambodia,KHM,2000,2.1155002
Cambodia,KHM,2001,2.0699
Cambodia,KHM,2002,1.9164001
Cambodia,KHM,2003,2.1012
Cambodia,KHM,2004,1.9773002
Cambodia,KHM,2005,2.4793003
Cambodia,KHM,2006,2.4893003
Cambodia,KHM,2007,2.6216002
Cambodia,KHM,2008,2.7457001
Cambodia,KHM,2009,2.8363001
Cambodia,KHM,2010,2.9697
Cambodia,KHM,2011,2.9574
Cambodia,KHM,2012,3.0892
Cambodia,KHM,2013,3.1627002
Cambodia,KHM,2014,3.0782
Cambodia,KHM,2015,3.0849001
